qid,wikidata_url,museum_url,slug,title,start_date,end_date,location,location_qid,curator,organizer,country,website,image,description
Q138547468,https://www.wikidata.org/wiki/Q138547468,https://www.sprengel-museum.de/ausstellungen/aktuell/gabriela-jolowicz,gabriela-jolowicz,Gabriela Jolowicz Holzschnitte - Woodcuts,2026-01-21,2026-05-26,Sprengel Museum,Q510144,Stefan Gronert,,,https://www.sprengel-museum.de/ausstellungen/aktuell/gabriela-jolowicz,,"Gabriela Jolowicz woodcuts exhibition in the Sprengel Museum, Hanover, 2026"
Q138572978,https://www.wikidata.org/wiki/Q138572978,https://www.sprengel-museum.de/ausstellungen/archiv/fotografien-moderne,fotografien-moderne,Fotografien Der Moderne Aus Der Sammlung,2023-11-23,2024-02-25,Sprengel Museum,Q510144,Stefan Gronert,,,https://www.sprengel-museum.de/ausstellungen/archiv/fotografien-moderne,,"Fotografien Der Moderne Aus Der Sammlung, Ausstellung im Sprengel Museum, Hannover, 2026"
Q138572994,https://www.wikidata.org/wiki/Q138572994,https://www.sprengel-museum.de/ausstellungen/aktuell/abenteuer-abstraktion,abenteuer-abstraktion,Abenteuer Abstraktion Von Der Moderne Bis Zur Gegenwart Sammlung,2023-04-23,,Sprengel Museum,Q510144,Isabel Schulz,,,https://www.sprengel-museum.de/ausstellungen/aktuell/abenteuer-abstraktion,,The Adventure of Abstraction. Exhibitions in Sprengel Museum Hannover 23.4.2023
Q138572988,https://www.wikidata.org/wiki/Q138572988,https://www.sprengel-museum.de/ausstellungen/vorschau/horst-antes,horst-antes,EINE SAMMLUNG,2026-04-11,2026-07-05,Sprengel Museum,Q510144,Reinhard Spieler,,,https://www.sprengel-museum.de/ausstellungen/vorschau/horst-antes,,"Eine Sammlung, Ausstellung im Sprengel Museum, Hannover, 2026"
Q138772341,https://www.wikidata.org/wiki/Q138772341,https://www.sprengel-museum.de/ausstellungen/vorschau/kaloki-nyamai,kaloki-nyamai,Kaloki Nyamai,2025-04-11,2025-07-05,Sprengel Museum,Q510144,,,,https://www.sprengel-museum.de/ausstellungen/vorschau/kaloki-nyamai,,"exhibition at Sprengel Museum Hannover, 2025"
Q138573058,https://www.wikidata.org/wiki/Q138573058,https://www.sprengel-museum.de/ausstellungen/vorschau/maja-zipf,maja-zipf,EMOTIONAL SUPPORT OBJECTS - Hoping for Better Days,2026-04-18,2026-07-05,Sprengel Museum,Q510144,Nora Niefanger,,,https://www.sprengel-museum.de/ausstellungen/vorschau/maja-zipf,,"Hoping for Better Days - EMOTIONAL SUPPORT OBJECTS, exhibition, Sprengel Museum,Hannover, 2026"
Q138650553,https://www.wikidata.org/wiki/Q138650553,https://www.sprengel-museum.de/ausstellungen/vorschau/paul-sepuya,paul-sepuya,PAUL MPAGI SEPUYAIN THE VIEW OF DESIRE,2026-07-01,2026-10-04,Sprengel Museum,Q510144,Stefan Gronert,,,https://www.sprengel-museum.de/ausstellungen/vorschau/paul-sepuya,,"art exhibition at the Sprengel Museum, Hanover"
Q138573096,https://www.wikidata.org/wiki/Q138573096,https://www.sprengel-museum.de/ausstellungen/vorschau/gleichmann,gleichmann,Otto Gleichmann and Expressionism in Hanover,2026-08-01,2026-11-01,Sprengel Museum,Q510144,,Sprengel Museum,,,,art exhibition at the Sprengel Museum Hannover
Q138652613,https://www.wikidata.org/wiki/Q138652613,https://www.sprengel-museum.de/ausstellungen/vorschau/aladag,aladag,Nevin Aladağ,2025-07-06,2026-01-11,Sprengel Museum,Q510144,,,,https://www.sprengel-museum.de/ausstellungen/vorschau/aladag,,exhibition at Sprengel Museum Hannover
Q138638019,https://www.wikidata.org/wiki/Q138638019,https://www.sprengel-museum.de/ausstellungen/archiv/sven-julien-kanclerski,sven-julien-kanclerski,The Universal (Trumpets Starting to Play),2025-11-22,2026-03-01,Sprengel Museum,Q510144,,,,https://www.sprengel-museum.de/ausstellungen/archiv/sven-julien-kanclerski,,"Sven-Julien Kanclerski. The Universal (Trumpets Starting to Play), exhibition in Sprengel Museum, Hanover, 2026"
